     *      | -0.1000E+02 |  0.0000E+00 |  0.1000E+02 | 
-----------   -----------   -----------   -----------
-0.1001E+05 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.1000E+05 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.9992E+04 |  0.4974E+01 |  0.0000E+00 |  0.4974E+01 | 
-----------   -----------   -----------   -----------
-0.9983E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.9974E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.9965E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.9956E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.9947E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.9938E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.9929E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.9920E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.9911E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.9902E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.9893E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.9884E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.9875E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.9866E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.9857E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.9848E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.9839E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.9830E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.9821E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.9812E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.9803E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.9794E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.9785E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.9776E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.9767E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.9758E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.9749E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.9740E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.9731E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.9722E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.9713E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.9704E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.9695E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.9686E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.9677E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.9668E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.9659E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.9650E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.9641E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.9632E+04 |  0.4974E+01 |  0.0000E+00 |  0.4974E+01 | 
-----------   -----------   -----------   -----------
-0.9623E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.9614E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.9605E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.9596E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.9587E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.9578E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.9569E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.9560E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.9551E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.9542E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.9533E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.9524E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.9515E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.9506E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.9497E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.9488E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.9479E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.9470E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.9461E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.9452E+04 |  0.4973E+01 |  0.0000E+00 |  0.4973E+01 | 
-----------   -----------   -----------   -----------
-0.9443E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.9434E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.9425E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.9416E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.9407E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.9398E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.9389E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.9380E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.9371E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.9362E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.9353E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.9344E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.9335E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.9326E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.9317E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.9308E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.9299E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.9290E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.9281E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.9272E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.9263E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.9254E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.9245E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.9236E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.9227E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.9218E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.9209E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.9200E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.9191E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.9182E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.9173E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.9164E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.9155E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.9146E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
